,iqr_weeks,weighted_mean_weeks,first_harvest,end_harvest,uncertainty
156,3,16.615384615384617,13,19,0.37205989550930924
157,5,17.75,13,20,0.45069217139919643
158,3,16.965745856353593,11,25,0.8899543329778102
159,4,22.32819722650231,18,24,1.2803599442260911
161,3,15.964969896004378,10,25,1.1146798382044174
163,7,18.97457627118644,10,27,1.3401918801226576
164,6,18.47222222222222,10,25,1.1654764457680467
168,6,18.541666666666668,10,25,1.0101326569112843
169,8,19.060606060606062,11,27,1.4839221844954404
171,3,15.132897603485839,10,21,0.5997587528982458
172,4,16.72222222222222,10,21,0.7555888701318643
175,0,13.846153846153847,11,13,1.240161212757898
176,2,15.72106824925816,11,23,0.8782910039485105
177,7,16.764044943820224,10,23,0.8201532195953198
178,3,15.967532467532468,11,21,0.37062888530411786
179,8,16.652631578947368,11,21,0.8424961558278034
180,4,16.708333333333332,12,22,0.4925459689142542
182,4,15.302848575712144,10,22,0.7842136488812131
183,8,17.456317689530685,10,21,1.12193406925568
184,2,15.264134275618375,10,22,0.9275347382809714
185,5,16.430571761960326,10,21,0.8745441526849898
187,4,16.304625199362043,10,22,0.8802262605911697
188,2,15.013671875,10,22,0.8788912249913388
189,2,15.460858585858587,10,21,0.8068931866374249
190,4,15.56206630686199,10,22,0.7800075755756736
191,4,16.304878048780488,11,22,0.3988790394465937
192,3,15.034443168771528,10,22,0.7874138080402844
193,3,15.5,10,19,0.3755873276479504
194,2,14.333333333333334,12,16,0.7952355641665828
199,2,15.44,8,17,0.662334087327268
200,4,16.093023255813954,11,17,0.5807401018207037
201,3,15.477042918133472,11,20,1.1065204611427064
202,0,15.0,14,14,1.2441767273688145
204,0,15.0,14,14,1.2225515439091106
206,1,14.922413793103448,11,19,0.5825574303419767
207,4,15.518055555555556,10,22,0.8978459533281186
208,5,15.380710659898478,10,19,0.4365614963565001
209,4,14.993333333333334,12,17,0.5985003636065755
210,3,15.485507246376812,11,23,0.5743093280992839
211,7,16.419753086419753,11,23,0.7190935507894576
212,3,15.76036866359447,10,23,0.8972596008641357
213,1,17.0,14,17,0.8490523486757443
215,0,18.733009708737864,13,18,0.9042094854319289
216,7,17.378653113087676,9,22,1.0668176496448425
217,4,21.383966244725737,19,23,1.3463537862082464
218,6,19.053128689492326,14,21,0.7643757742860915
219,6,20.220858895705522,16,22,1.032172383306571
221,4,17.66022480773023,11,20,0.3339424701205495
222,2,19.84518828451883,13,22,0.5768845532795399
223,2,15.904,12,21,0.5803316557493609
224,0,17.0,16,16,1.2408895412689533
225,2,18.819209039548024,11,22,0.658655157117042
226,3,18.255102040816325,11,22,0.6170513657072857
227,3,18.569444444444443,14,19,0.575523194497045
228,5,19.03030303030303,11,22,0.719174284300204
230,5,16.571428571428573,11,22,0.6535870208055429
231,2,18.84328358208955,16,19,0.8741966486241695
232,5,16.671641791044777,7,19,0.8881939116739084
233,3,14.89714867617108,9,22,0.8914323473501388
234,2,14.295283018867925,9,21,1.0909794332711868
235,4,16.292812777284826,11,19,1.007121474423741
236,5,16.748984229736244,11,19,0.42200179350157274
237,5,15.955089820359282,11,19,0.32940547933444614
238,4,15.721476510067115,10,19,0.4074869704320476
239,5,16.24190800681431,11,21,0.5958183992127952
240,3,18.0,10,21,0.40947294783794697
241,4,15.629715165511932,9,21,0.8477849295234228
242,4,17.17384693360365,9,21,1.061568271060384
243,8,15.54140127388535,10,22,1.0009749783002246
244,3,15.444444444444445,10,16,0.767612532916229
245,3,16.444444444444443,10,22,0.8469276192988295
246,3,16.493946731234868,10,20,0.6312761108749758
247,7,16.40921409214092,10,22,0.924888252029163
248,4,18.056818181818183,10,22,0.7100173424355309
249,5,17.464285714285715,10,22,0.7293724783050395
250,6,15.175757575757576,10,20,0.5953699163716406
251,5,16.42962962962963,10,22,0.6417680494397866
252,4,17.51923076923077,10,22,0.5313758122562781
253,7,17.561643835616437,10,22,0.7440167056225241
254,5,16.275,10,22,0.5337417822944671
255,5,15.929230769230768,10,22,0.7918714512251921
256,4,18.0,10,21,0.4814614213853323
257,3,17.21311475409836,11,19,0.8331351146114012
258,1,15.487804878048781,14,15,1.0112591030610873
260,4,16.380165289256198,11,20,0.24956886104937478
261,4,16.1734693877551,10,20,0.38324243336599817
262,1,17.25925925925926,11,20,0.4698381951389571
263,4,16.798068481123792,12,20,0.49882383583033113
264,3,17.177950594693502,10,21,1.0790576373005638
265,4,15.642411642411643,8,18,0.5799062415253404
266,7,17.55793991416309,13,21,0.7465032712273847
267,2,17.6144578313253,10,19,0.31930308649337963
268,3,18.416107382550337,12,21,0.344860178201843
270,3,16.15779981965735,10,20,0.4813232483178053
271,6,13.627489072365226,8,21,1.230815072784809
272,3,18.036619718309858,14,21,0.6695986249394277
273,4,18.20449438202247,14,21,0.4636187387967415
274,3,18.42025316455696,15,21,0.5932383482172919
275,7,13.166441136671176,9,17,1.1682545736297694
276,7,15.400118203309693,11,19,0.9899827202170309
277,4,17.899560922063667,13,21,0.887155555600976
278,5,17.391006842619745,13,21,0.6367963707402102
279,3,16.936962750716333,13,20,0.28838953428819397
280,3,16.573241671073507,11,21,0.9040508839008012
281,3,16.265921787709498,8,20,0.7714812300019921
283,4,13.395511921458626,8,18,0.7476171087945883
284,1,14.662337662337663,13,14,1.0961098245271998
285,3,16.710743801652892,10,20,0.31329202899417224
287,2,14.163636363636364,10,18,0.5509560050600729
288,3,15.505016722408026,11,18,0.4244403203120569
289,2,14.168539325842696,7,16,0.9293564106546015
290,3,16.39563862928349,7,19,0.7065786558746067
291,1,16.0,13,17,1.1360210314026602
292,2,14.061224489795919,10,14,1.041330496956274
293,3,14.806666666666667,10,16,1.0075074356014704
295,2,15.606060606060606,12,19,0.48673553133714037
296,2,15.971055088702148,11,18,0.9844430960786935
297,4,17.811708860759495,13,19,0.5265479977003412
298,4,17.263274336283185,12,19,0.5169638963444081
299,3,16.481012658227847,13,20,0.38745301256987486
300,0,15.0,14,14,1.234265359805719
301,3,17.085346215780998,12,20,0.48042999982904816
302,6,20.216783216783217,9,25,1.2449485641085742
303,7,19.247191011235955,9,23,0.9061320107906494
304,0,21.758928571428573,15,24,1.1075736188979768
305,7,16.86268656716418,9,23,0.8698243657204563
306,8,18.11849710982659,9,25,1.3973925298430105
307,6,15.44007858546169,9,22,0.7179478738525936
308,3,16.51100811123986,10,24,0.6726129010653749
310,7,16.83783783783784,13,20,0.9117797215920077
311,5,18.13092979127135,9,24,0.8950319760296899
312,5,16.77150916784203,9,24,1.0222056933707109
313,4,16.7196261682243,10,24,0.6008773835967988
314,8,18.102418207681367,9,24,1.028312216548309
315,4,18.14179104477612,10,21,0.44980754453000227
318,3,13.286516853932584,9,16,0.9384602517451647
319,4,14.477917981072554,11,15,0.8815038636430088
320,1,11.903448275862068,9,16,1.0845511839469093
321,2,11.87603305785124,9,16,1.070379448096158
322,6,13.045454545454545,10,16,1.1624657474679527
323,6,19.80514705882353,10,25,1.123060778507123
324,1,12.129032258064516,10,12,1.323623054378482
325,7,21.077707006369426,13,25,1.172044791112724
326,5,19.40661938534279,10,24,0.970322897746312
327,5,20.61965811965812,12,24,0.7570049311635837
328,8,19.369230769230768,10,24,1.2111927180633308
329,5,20.440298507462686,13,24,0.8362936990139476
330,6,18.315508021390375,11,24,1.1278986419400714
331,5,20.285714285714285,16,23,0.9554700727846281
332,5,20.03448275862069,9,24,0.9637286022750344
333,5,20.071428571428573,11,23,0.742241022186232
334,6,19.076923076923077,9,23,0.8999565955876504
335,6,18.258715596330276,10,22,0.7476046073728172
336,4,16.43666169895678,10,22,0.5931244027807844
337,3,16.49206349206349,10,22,0.5577438021466588
338,3,15.029411764705882,10,18,0.56950463334443
339,7,16.512820512820515,11,21,0.6812154505710103
340,2,16.04040404040404,10,21,0.6257131206647921
341,5,17.235294117647058,10,21,0.637793630255884
342,7,17.172932330827066,10,21,0.79243363342319
343,2,15.28090539756239,10,18,0.7908942062441433
344,2,14.102502017756255,10,16,0.7654252339425345
345,5,15.375816993464053,10,19,0.4208468956599909
346,3,15.746957078795644,11,18,0.28337413658834626
347,3,14.934010152284264,10,17,0.4822838871236417
348,3,15.737704918032787,10,18,0.3420746970121507
349,3,15.451807228915662,10,18,0.3352069395009253
350,1,15.294642857142858,12,17,0.5833935143049586
351,4,16.015151515151516,10,19,0.36479180848529696
352,2,14.959537572254336,10,17,0.4818997270378075
353,2,14.859504132231406,10,18,0.4529098842374753
354,3,15.163835616438357,10,17,0.4763265787325811
355,3,15.07157845651667,10,18,0.5997186534395502
356,3,14.08941605839416,10,16,0.6623494082023033
357,1,13.071895424836601,9,14,1.0313535460810346
358,2,14.88089108910891,8,17,0.7798194704139697
359,3,13.88512895555149,8,16,0.7362179307669781
360,2,14.914634146341463,12,16,0.700923959078863
361,2,14.549403183023873,9,16,0.6216476820854558
362,3,13.818181818181818,11,15,0.888522131216581
363,2,15.075332348596751,11,16,0.621003415793768
364,3,17.889679715302492,14,20,0.47911034302197447
365,6,17.430523917995444,11,21,0.5958859436289754
366,4,17.683229813664596,14,21,0.49125402688425696
367,3,16.695121951219512,12,19,0.2600959273716764
368,3,20.076923076923077,14,21,0.6632676820216432
369,3,18.20873786407767,14,21,0.49991948854454016
370,0,15.25,14,15,1.1182006882893543
371,4,18.738916256157637,10,21,0.586048957850955
372,3,18.179624664879356,10,21,0.5489907908875039
373,3,15.134328358208956,10,16,0.6428859694847258
374,2,17.90788267644363,11,21,1.0560435391950957
375,2,17.875757575757575,13,22,0.5090760698061039
376,4,17.530155083285468,12,22,0.8217807600426107
378,2,17.329317269076306,11,19,0.34436045306068735
379,2,17.364864864864863,13,18,0.5706800489249922
380,5,18.312775330396477,13,21,0.4375306873216652
381,4,17.23358512492737,10,22,1.0231688668939314
382,4,17.040032025620498,11,20,0.6534550279690531
383,3,16.80392156862745,10,22,0.8495102649183879
384,2,19.862068965517242,18,20,1.196987979466757
385,2,16.76575542247184,11,22,0.9921370186814504
386,4,18.84634346754314,13,24,0.8356370976569213
387,7,18.428571428571427,13,21,0.7505233626202125
388,7,21.31924882629108,14,24,1.0267348041830386
390,2,19.044921875,14,22,0.6701514664644597
391,3,21.824034334763947,19,23,1.3714905711893395
392,2,15.840909090909092,12,17,0.5012417340381674
394,2,15.0,10,17,0.5711816866836001
395,3,18.382775119617225,10,20,0.38589797562683115
396,3,18.33613445378151,10,20,0.3764965748837091
397,3,16.603448275862068,13,19,0.45237098780023843
398,2,19.246913580246915,12,20,0.5395016856025092
399,0,16.25,10,16,1.0680661273693024
400,2,16.765432098765434,11,19,0.28872722277107243
401,1,16.68421052631579,12,17,0.641998541011691
402,2,17.027522935779817,10,20,0.3809888069469664
403,2,17.936046511627907,12,20,0.32120279355843323
404,2,16.821428571428573,11,17,0.4311557443010612
408,3,17.224917309812568,10,20,0.5483300375118313
409,2,14.934707903780069,12,17,0.5668198520770007
410,2,16.280230326295584,10,19,0.5846539138360037
411,2,16.412667946257198,10,20,0.6317067143002943
412,4,20.966162065894924,11,26,1.4953558520016195
413,3,20.35509904622157,11,26,1.432111457903754
414,0,15.793103448275861,11,15,1.0643106829158888
417,3,19.933333333333334,14,26,1.0655108397509299
418,3,20.65429403202329,11,28,1.4328064709678343
419,5,20.499655410062026,14,24,1.2282485430477574
420,5,19.261785356068206,12,26,1.3510913977562966
421,2,19.210526315789473,13,22,0.5676580891384405
422,3,19.768932465061827,13,22,0.7470065828034882
423,4,18.9631789053472,13,25,0.89453257068435
424,6,18.95213849287169,11,24,1.2052849474309928
426,5,20.14188034188034,14,26,1.1865219973441874
427,0,16.0,15,15,1.2054890771342999
429,4,17.821192052980134,13,20,0.3619556404092972
430,5,18.98701298701299,13,21,0.5161898152411569
431,6,18.79110651499483,11,22,1.387040156048351
432,0,14.0,13,13,1.2926579183863274
438,5,19.666044776119403,12,25,1.0906084083227414
439,4,19.64555052790347,13,25,0.9113814305867598
440,4,19.720739219712527,12,24,0.8038163256858866
442,3,19.430555555555557,14,22,0.6420536261566003
443,0,15.89655172413793,14,15,1.0790406531376873
444,4,20.099630996309962,14,22,0.6551591794415162
445,3,19.586330935251798,14,22,1.10809861194698
446,7,19.054607508532424,14,22,0.7858707847976639
447,2,20.658767772511847,14,22,0.7040166230966791
448,2,19.92792792792793,14,24,1.1576650713717334
450,3,19.9625,14,24,0.8128555476100595
451,2,19.946902654867255,14,24,0.869459893358632
453,3,21.294736842105262,17,24,1.1584603725522093
454,7,19.071428571428573,15,22,0.9833579678576048
457,3,17.033177812338,13,22,0.9165642381243575
462,1,19.08770979967515,14,21,0.6556456557586077
463,4,19.555649957519115,16,20,0.9747209328044695
465,4,18.292173560421734,12,28,1.316998710705628
466,0,13.0,12,12,1.423204526470943
468,2,15.939297124600639,12,26,0.7824488511031898
469,4,17.650027327382038,11,23,0.5676714435198145
470,0,17.227272727272727,12,26,0.9443110162978324
471,7,18.269393511988717,11,25,1.116486221409486
473,5,19.27426160337553,12,23,0.7714605727868751
474,4,19.095238095238095,12,22,0.5908947236140624
477,5,17.665735567970206,11,24,1.3218493415865529
478,6,17.21518987341772,11,22,0.5312248034960767
480,3,16.55037783375315,12,25,1.184732908809959
481,4,15.816155988857938,11,20,0.2921089371510692
482,0,15.841726618705035,13,16,0.9321289350977141
483,7,15.15,11,18,1.0338330615299562
484,2,15.163537043359508,9,20,0.5245650109570797
485,1,12.362962962962962,10,12,1.285756461158021
486,3,16.261682242990656,9,25,1.27670317327172
488,5,14.232558139534884,10,23,0.659614390367404
489,3,17.778541953232462,10,25,1.03947415441827
490,2,16.81374210445232,9,26,1.233626361239476
491,4,15.862888482632542,11,20,0.30666389001050476
492,3,16.00124792013311,9,23,0.6626613499089266
493,2,17.977777777777778,16,18,0.9867517382386926
496,2,13.031007751937985,10,14,1.038811176689212
498,4,14.115424973767052,9,19,0.6623252891239869
504,2,15.049689440993788,10,18,0.4180395543375524
505,3,15.67251461988304,10,20,0.4293879844580472
506,2,16.402764976958526,12,25,0.5921219931430985
507,3,15.975283048955509,10,25,1.0770557873988758
508,4,13.157894736842104,9,15,0.93788014395327
509,0,20.0,19,19,1.4906869454161142
510,1,14.188115763546797,10,16,0.8386213552192343
511,2,13.748677248677248,9,18,0.7616465493552416
512,2,14.083215796897038,10,23,0.6147569819272822
513,4,15.111437733832176,9,23,0.6609457354376796
514,2,13.577181208053691,11,16,0.7731588560068967
515,2,15.563640176137556,9,23,0.7768866602195956
516,4,16.245686113393592,11,25,0.9357620321042834
517,3,14.886524822695035,10,20,0.5347155624737551
518,5,16.15625,10,24,0.6715843592933868
519,5,16.686567164179106,12,20,0.4405753508549003
520,1,15.701754385964913,9,20,0.5666105169615023
521,5,16.221824686940966,10,21,0.5888634848657301
522,0,20.0,19,19,1.4898000149423922
523,1,13.584960231381055,10,19,1.0143073515010328
524,0,15.355828220858896,13,23,0.730518821457231
525,6,15.222969941677883,9,21,0.7503213885906662
526,4,14.370747512149965,9,24,0.9741445222987317
528,1,13.324715845776689,8,16,0.8561008058568889
529,4,15.414497096834614,9,23,0.8673683635692895
530,1,14.431189427312775,9,18,0.6071109987479995
531,2,13.931034482758621,8,17,0.7506409155969036
532,5,13.933758978451715,5,16,1.4188894921693072
534,0,17.0,16,16,1.2137632923954398
535,1,15.217391304347826,11,18,0.5390231378859431
537,1,13.647887323943662,8,15,0.9849021803768867
538,9,14.352212389380531,9,23,1.2198367843828897
540,2,13.082788671023964,9,17,0.7409594010733161
541,4,16.21234221598878,9,24,1.2312820710364363
542,5,15.628149435273675,10,24,1.39817596168758
543,0,18.702479338842974,17,22,1.0962009826104882
545,2,14.118881118881118,11,24,0.6366728162262381
546,2,16.88041163946061,10,22,0.466377152251151
547,4,18.505102040816325,11,21,0.3630280936995506
548,3,15.834148727984344,11,23,0.4561382031754288
549,3,15.535483870967742,9,23,0.8906394793376654
550,1,15.73076923076923,11,23,0.5285428157696678
551,4,13.652991452991452,8,19,0.7357170593974955
552,3,16.169722614010343,11,23,0.5469738453477927
553,5,14.996157540826129,10,17,0.6175333448787008
554,3,15.558033161806748,9,19,0.43382941340610587
556,4,16.54617737003058,11,24,0.5076939186997855
557,4,16.722512481133172,4,23,1.3584183116453699
558,3,14.035435746415974,9,22,1.126010731090933
559,3,13.964630225080386,9,22,0.6795492992357745
560,2,13.788844621513944,11,15,0.8495893119754109
561,2,14.30972247975771,9,22,1.1673473551228186
563,3,13.316323873991148,10,16,0.9491931886340557
564,4,17.18285714285714,9,23,0.6622849217922272
565,5,15.384912959381044,10,21,0.9475834472480994
566,9,20.054545454545455,13,24,1.1786790188043523
567,5,15.724839400428266,8,23,1.0655711371572874
568,4,15.362886597938145,12,21,0.396963485750416
570,1,15.403174603174604,13,22,0.8008941331320019
571,5,16.31013916500994,12,23,0.607522314939936
572,0,20.0,19,19,1.4777963201019075
573,3,15.508403361344538,11,23,0.7397156894325505
574,2,16.455375006099644,13,23,0.5596031126012749
575,4,16.008163265306123,12,24,0.6433176495832148
576,4,18.47244094488189,15,23,0.75118454038849
577,3,15.805555555555555,8,23,0.8496133779751568
578,1,14.147058823529411,12,18,0.7815935454318067
579,4,16.94913043478261,12,24,1.2251904735406025
580,5,15.794621026894866,11,22,0.5891666406917249
581,3,16.60154738878143,10,23,0.6841922556113514
582,2,17.12121212121212,14,22,0.516308866826667
583,0,15.941176470588236,13,22,0.7291701690271107
584,3,15.104109589041096,11,22,0.3979134873250384
585,4,15.40798611111111,10,24,1.390924179988422
586,2,18.615384615384617,13,20,0.4744650256219186
587,1,16.48,13,16,0.8597857656670979
588,3,15.761467889908257,13,19,0.3892005241163626
589,2,14.506105006105006,12,21,0.4490924636509346
590,1,12.663594470046084,5,18,1.2322932499934134
591,2,13.211717709720373,8,19,0.7822755213069724
592,5,15.142105263157895,10,23,1.0692941229887643
593,0,14.181818181818182,7,22,1.079022964474959
594,4,13.354443967367969,6,23,1.396116623006336
595,2,16.048672566371682,13,17,0.5845875644578838
596,2,16.235294117647058,13,17,0.634655386027598
598,4,15.153726708074535,8,21,1.0454903387212209
600,3,14.19903433476395,10,20,0.8760722466257166
602,0,18.0,17,17,1.2799505433315543
603,1,13.764836795252226,11,20,0.7906388922095999
604,6,15.54330312185297,10,22,1.1167853837648927
605,4,17.23170731707317,12,20,0.22320020907495705
606,3,16.691318327974276,12,21,0.3366234792358839
607,2,16.5,12,21,0.32198848484190173
608,4,15.740560292326432,11,21,0.5688052297952831
609,2,17.7,13,21,0.4182112532525993
611,6,17.174081237911025,11,25,1.0372742054377004
612,6,19.232432432432432,9,25,1.3036274015817455
613,6,17.79937304075235,9,23,1.1755554123798102
614,3,16.380281690140844,11,21,0.37723762740370287
615,7,17.566093657379966,9,23,1.3000862877232957
618,7,17.88372093023256,9,22,0.9370890976004206
619,6,19.07391304347826,9,22,0.9122747202974539
620,5,18.606201550387595,9,22,0.7310773491431213
621,1,20.803370786516854,11,23,0.7939051052077382
622,4,18.903225806451612,10,23,0.6627975643410229
623,3,16.894117647058824,12,21,0.2462518603355623
624,2,15.146666666666667,10,17,0.5817924841564619
625,6,17.4,11,20,0.6319832966861842
626,3,19.794736842105262,10,23,0.7031859381804713
627,5,17.939393939393938,11,21,0.4719024772661984
628,6,17.611380985426788,10,21,0.6228410534534281
629,3,15.887096774193548,10,19,0.36460719019432886
630,0,17.727272727272727,14,17,0.9968146619603854
631,6,19.055187637969095,9,22,0.881324508859241
632,7,17.41176470588235,12,20,0.7869930979904153
633,1,13.12,11,13,1.168381694288821
634,7,19.178947368421053,15,22,0.9289510270910816
635,6,18.783783783783782,13,21,0.6305091684781843
636,6,17.547169811320753,10,21,0.5934763553284167
637,3,15.76056338028169,10,17,0.46040814540040254
638,6,17.75,9,20,0.7526603415121519
639,5,18.91780821917808,10,21,0.6868306971498983
640,0,19.121387283236995,12,20,0.6765692713427922
641,3,18.39453125,10,21,0.577374053595383
642,4,18.574748743718594,9,25,1.3999172722226996
643,2,16.0,14,16,0.8897106640701099
644,6,19.125,12,23,0.6935334411070663
645,3,18.78125,10,21,0.5100691902326485
646,4,17.434782608695652,14,18,0.8242071630772124
647,1,18.210526315789473,16,18,0.9942482886961104
648,4,18.66304347826087,10,21,0.5335634663911023
649,4,17.695652173913043,10,20,0.5031857589996764
650,5,16.31111111111111,9,20,0.5265828890395258
651,3,17.78723404255319,13,21,0.3846066096943653
652,3,17.7,11,21,0.3681222986357003
653,6,18.20769230769231,10,21,0.5804511885621321
654,3,14.866666666666667,11,15,0.9073243258877142
655,2,18.555555555555557,13,20,0.6957520988135608
656,4,17.609756097560975,9,20,0.59170899954781
658,3,18.46875,11,21,0.40094555268356513
659,4,19.67924528301887,12,24,0.6424269043801388
660,4,18.467054263565892,10,24,0.9760923096712262
661,2,16.647058823529413,13,17,0.6766595319538954
662,4,18.359375,10,20,0.4203613314844957
663,0,15.0,14,14,1.2529690529714017
664,2,13.92356687898089,9,15,0.7699179296070447
665,1,14.413191076624637,9,15,0.8371531746788903
666,1,13.414765100671142,9,14,0.9557248922439895
667,1,13.791666666666666,9,15,0.8288107622464799
668,3,15.709944751381215,10,20,0.4202011649216829
669,2,14.646153846153846,9,15,0.7379224622000782
670,3,15.5,11,19,0.29671895631836825
671,3,15.77561061324899,9,20,0.5867205019888356
672,5,17.044198895027623,10,19,0.4395387664649678
673,3,16.46694214876033,11,19,0.2589384868775215
