iqr,peak_harvest,first_harvest,end_harvest
5,15.160714285714286,9,19
2,18.363636363636363,15,28
3,16.881818181818183,14,26
2,11.2,10,12
3,16.654117647058822,13,23
0,17.0,17,17
0,17.0,17,17
6,14.136363636363637,10,24
2,16.45945945945946,9,23
5,16.75,14,19
0,13.0,13,13
1,16.571428571428573,15,17
1,16.578512396694215,13,24
