PlantingID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,K,r,t,K_err,r_err,t_err
2013-02-13_Felicity_ZJL_Z18_6_0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.26792891546254,198.12522836738083,639.6614515861152,1245.3585783092508,2190.6989536621822,4151.431124397941,4921.289154625478,3840.0914798206277,2745.4495930908483,1307.6265072247136,22236.20348001427,0.8907595659359769,15.55450548686021,190.16364001541746,0.018492503709822174,0.03249443650140443
2013-02-13_Shiren_ZJL_Z18_6_0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.9164148121012,911.6351314222915,2267.8330738468117,3387.6811673840702,4663.688982507556,4610.932319809506,3130.9320755868976,2450.019415697408,1225.3614189333578,23621.085900187412,0.8471663734051151,15.069017262204634,418.6534150627201,0.03907929568280803,0.07364661414807644
2013-02-15_Amsterdam_ZJL_Z18_2_0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.40269058295964,175.12466367713003,337.27713004484303,590.2349775784753,1005.3452914798205,1388.025112107623,1089.6645739910314,544.8322869955157,849.6789237668161,1206.4143497757848,7437.776465483573,0.6722252612595278,15.384641260130067,613.1440454137407,0.1041023988768997,0.36726724864949234
2013-02-15_Felicity_ZJL_Z18_5_0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.818177971480555,235.7726907290653,856.2271400160793,1867.567892353912,1656.6133795963274,2903.7268226632254,1867.567892353912,3418.7040155714467,2150.2624508103077,3347.7395379342443,19245.449999999953,0.6604211129871456,15.85526715237301,1828.4753073649424,0.1014393761556579,0.40606093834250995
2013-02-15_Olivia_ZJL_Z18_2_0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.66666666666663,463.99999999999994,1690.6666666666663,2751.9999999999995,3023.9999999999995,1797.333333333333,565.3333333333333,0.0,0.0,10585.133567886816,1.2820792291743577,14.047852863284502,81.62966254042739,0.045258030774444145,0.03247536411887502
2013-02-16_Amsterdam_ZJL_Z18_1_0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.21842829908917,446.4010167337429,1014.5477653039611,1670.6219868671892,2833.9700910823976,4409.900953187885,7710.563016310104,6209.032323660242,8127.373056555815,7383.371361999577,41909.7,0.796436714131373,16.376111961364906,3386.300435900622,0.10744023737560891,0.28992640307218387
2013-02-17_Pera Amarilla_ZJL_Z18_4_0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.641975308641978,51.55555555555556,160.3950617283951,996.7407407407408,973.8271604938271,870.7160493827159,464.0,464.0,630.1234567901234,4482.05831366792,0.9331823748317841,15.18660862845548,278.03904474405715,0.16183805327609532,0.24437790559944128
2013-02-17_Pera Roja_ZJL_Z18_4_0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.448140043763676,32.89628008752735,93.20612691466083,76.75798687089716,245.3514223194748,892.3115973741793,892.3115973741793,794.9934354485777,87.7234135667396,3288.5999999997744,1.2640045749781827,16.316115550792325,110.35620560126357,0.118349338727206,0.09746833927851827
2013-02-20_Shiren_ZJL_Z18_5_0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.93659662334507,557.561034859711,1310.2684319203204,1499.8391837726224,3794.202842220333,3442.939390258715,4675.149277298676,2971.800315802259,2877.014939876108,1717.2879873679096,24099.6,0.7408017736963901,15.2785282416666,678.2303223951596,0.0447031354737063,0.12071369380016955
2013-02-21_Black Pear_ZJL_Z18_4_0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.155763239875395,108.56074766355142,289.4953271028038,431.22741433021815,352.82242990654214,503.6012461059191,331.7133956386293,554.8660436137072,301.5576323987539,3049.1999999999994,0.7010753659768703,15.630245534213312,226.16646206975824,0.09559056771205625,0.3140147352052116
2013-02-21_Pera Amarilla_ZJL_Z18_4_0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.49886104783599,376.8686408504176,376.8686408504176,694.6757782839786,801.5489749430524,801.5489749430524,427.49278663629457,33.749430523917994,123.74791192103264,3768.5727296306436,0.9372824436702547,14.412271661967148,76.41530908744849,0.06273803037469776,0.08911858213781462
2013-02-21_Pera Roja_ZJL_Z18_4_0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.753623188405793,28.753623188405793,28.753623188405793,0.0,0.0,639.768115942029,1559.8840579710145,1933.6811594202902,2228.405797101449,6770.399999999925,1.4596552699449334,17.521020410434968,588.3728934898636,0.24448574885094346,0.18096199881910663
2013-02-21_Perla_ZJL_Z18_4_0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.93600764087869,224.97803247373452,274.6055396370583,221.66953199617953,612.0725883476599,708.0191021967526,774.189111747851,595.5300859598854,3637.199999999997,0.8546891567269722,16.494614359953438,322.4428513513892,0.1307844786410602,0.3002685556452311
